Time,Cum_GASINJ,Cum_GASPROD,Cum_OILPROD,Inlet_Pres
(hrs),(Scc),(Scc),(sep-cc),(atma)
0.00,0.00,0.00,0.00,331.51
0.10,27.08,0.00,0.07,331.45
0.20,272.34,30.29,0.56,331.49
0.30,308.96,89.51,0.47,331.46
0.40,569.16,169.39,0.90,331.47
0.50,438.68,202.88,0.43,331.55
0.60,669.52,238.17,0.89,331.57
0.70,790.90,269.68,1.08,331.64
0.80,794.25,310.79,0.94,331.69
0.90,813.12,337.26,0.88,331.70
1.00,1078.35,336.02,1.52,331.73
1.10,1217.63,460.56,1.52,331.70
1.20,1338.64,533.92,1.61,331.64
1.30,1264.95,507.87,1.45,331.61
1.40,1441.96,600.04,1.62,331.66
1.50,1392.54,591.64,1.47,331.69
1.60,1564.49,591.20,1.87,331.68
1.70,1712.15,649.53,2.05,331.73
1.80,1844.37,748.31,2.09,331.76
1.90,2098.44,872.04,2.38,331.72
2.00,2126.17,888.94,2.36,331.74
2.10,1995.03,904.03,1.94,331.73
2.20,2224.54,986.18,2.27,331.73
2.30,2328.45,992.35,2.47,331.77
2.40,2629.35,1076.79,2.98,331.74
2.50,2767.27,1052.86,3.34,331.80
2.60,2585.85,1117.95,2.66,331.79
2.70,2989.45,1241.59,3.32,331.87
2.80,3125.54,1266.50,3.56,331.83
2.90,3065.41,1306.90,3.25,331.84
3.00,3114.99,1332.21,3.26,331.85
3.10,3272.65,1381.46,3.49,331.83
3.20,3393.30,1485.64,3.48,331.84
3.30,3516.89,1469.08,3.79,331.84
3.40,3574.09,1520.95,3.76,331.77
3.50,3794.47,1543.23,4.21,331.84
3.60,3697.14,1562.02,3.86,331.84
3.70,3889.01,1676.95,4.01,331.84
3.80,4137.69,1718.33,4.49,331.79
3.90,4069.52,1773.43,4.12,331.79
4.00,4359.55,1880.60,4.53,331.83
4.10,4573.23,1921.62,4.92,331.84
4.20,4390.32,1971.28,4.27,331.84
4.30,4724.16,2022.28,4.94,331.85
4.40,4630.67,2013.15,4.67,331.85
4.50,4756.11,2060.82,4.82,331.81
4.60,4834.08,2045.37,5.00,331.87
4.70,5041.62,2146.71,5.22,331.84
4.80,5242.81,2243.90,5.43,331.85
4.90,5268.32,2284.27,5.34,331.80
5.00,5262.52,2350.48,5.11,331.76
5.10,5540.70,2413.86,5.61,331.73
5.20,5713.86,2466.39,5.87,331.69
5.30,5742.64,2473.72,5.87,331.70
5.40,5669.95,2520.78,5.49,331.85
5.50,5937.55,2587.45,5.95,331.84
5.60,6108.79,2586.65,6.33,331.89
5.70,6176.63,2616.22,6.37,331.92
5.80,6194.06,2688.53,6.18,331.88
5.90,6301.13,2743.44,6.26,331.87
6.00,6494.26,2779.10,6.61,331.87
6.10,6457.80,2827.58,6.34,331.85
6.20,6656.10,2867.84,6.69,331.87
6.30,6817.40,2923.95,6.90,331.92
6.40,6933.99,2942.74,7.10,331.89
6.50,6902.23,3017.01,6.77,331.93
6.60,7114.47,3025.37,7.24,331.95
6.70,7104.60,3254.88,6.61,331.61
6.80,7302.88,3287.10,7.00,331.47
6.90,7558.94,3335.08,7.48,331.49
7.00,7740.62,3425.81,7.67,331.42
7.10,7741.67,3467.27,7.52,331.38
7.20,7961.19,3473.84,8.02,331.35
7.30,8172.11,3489.93,8.46,331.42
7.40,8235.60,3582.50,8.33,331.46
7.50,8253.71,3591.31,8.30,331.49
7.60,8441.73,3697.29,8.44,331.64
7.70,8369.38,3722.10,8.14,331.64
7.80,8724.60,3762.69,8.89,331.69
7.90,8688.18,3804.53,8.64,331.68
8.00,8845.77,3859.21,8.85,331.72
8.10,8817.11,3901.93,8.61,331.79
8.20,8817.92,3920.96,8.52,331.73
8.30,8842.30,3936.03,8.49,331.77
8.40,8990.42,3992.87,8.66,331.88
8.50,9192.68,4035.86,9.02,331.89
8.60,9252.67,4078.13,9.01,331.95
8.70,9561.08,4140.69,9.60,331.89
8.80,9631.67,4157.17,9.70,331.83
8.90,9683.94,4232.89,9.60,331.81
9.00,9760.92,4279.89,9.63,331.79
9.10,9822.06,4313.59,9.66,331.74
9.20,10048.50,4355.52,10.09,331.79
9.30,10218.17,4371.59,10.42,331.89
9.40,10227.96,4460.79,10.17,331.89
9.50,10180.37,4494.66,9.91,331.95
9.60,10447.87,4529.18,10.47,331.89
9.70,10276.24,4601.93,9.80,331.89
9.80,10567.64,4626.39,10.45,331.84
9.90,10867.27,4715.18,10.95,331.84
10.00,10590.20,4691.44,10.26,331.83
10.10,10639.66,4740.95,10.21,331.91
10.20,10773.39,4805.49,10.35,331.87
10.30,10939.10,4848.85,10.62,331.89
10.40,10929.10,4840.42,10.58,331.87
10.50,11094.00,4863.87,10.92,331.76
10.60,11284.89,4912.26,11.25,331.72
10.70,11317.32,4927.68,11.27,331.61
10.80,11389.75,4976.45,11.31,331.50
10.90,11238.75,4968.45,10.91,331.49
11.00,11398.06,5010.76,11.18,331.46
11.10,11476.00,5035.30,11.29,331.41
11.20,11607.25,5075.62,11.49,331.41
11.30,11387.35,5059.57,10.94,331.35
11.40,11628.86,5083.35,11.47,331.32
11.50,11656.80,5131.79,11.37,331.43
11.60,11638.03,5142.57,11.25,331.51
11.70,11780.62,5174.11,11.50,331.53
11.80,11580.21,5166.12,10.97,331.55
11.90,11635.50,5190.32,11.01,331.58
12.00,11660.22,5215.26,10.97,331.68
12.10,11736.72,5223.31,11.12,331.62
12.20,11701.74,5214.53,11.01,331.72
12.30,11834.95,5271.02,11.18,331.70
12.40,11751.97,5263.00,10.96,331.68
